학번,입학년학기,학과코드,스냅샷년학기,그룹키,성별,국적코드,만나이,입학년도,입학학기,입학구분,과정,학년제,입학후학기수,스냅학적코드,활성여부,누적GPA,직전학기GPA,이수학기수,학사경고누적,출석수,지각수,결석수,총수업수,출석률,등록금미납,ID유예누적,당기유예대상,학적변동누적,휴학누적,비자유형,체류만료일,여권만료일,이탈정답,5종라벨,최종학적그룹,종결일,종결까지일수
201814301,20182,1303104000,20182,1303104000_20182,1,704,28,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814302,20182,1303104000,20182,1303104000_20182,1,704,27,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814303,20182,1303104000,20182,1303104000_20182,2,704,23,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814304,20182,1303104000,20182,1303104000_20182,1,704,25,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814305,20182,1303104000,20182,1303104000_20182,1,704,23,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814306,20182,1303104000,20182,1303104000_20182,1,704,23,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814307,20182,1303104000,20182,1303104000_20182,1,704,28,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814308,20182,1303104000,20182,1303104000_20182,1,704,27,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814309,20182,1303104000,20182,1303104000_20182,1,704,23,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814310,20182,1303104000,20182,1303104000_20182,1,704,24,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814311,20182,1303104000,20182,1303104000_20182,1,704,25,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814312,20182,1303104000,20182,1303104000_20182,1,704,23,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814313,20182,1303104000,20182,1303104000_20182,1,704,21,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814314,20182,1303104000,20182,1303104000_20182,2,704,20,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814315,20182,1303104000,20182,1303104000_20182,2,704,23,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814316,20182,1303104000,20182,1303104000_20182,2,704,20,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814317,20182,1303104000,20182,1303104000_20182,1,704,21,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814318,20182,1303104000,20182,1303104000_20182,1,704,24,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814319,20182,1303104000,20182,1303104000_20182,2,704,22,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814320,20182,1303104000,20182,1303104000_20182,1,704,25,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814321,20182,1303104000,20182,1303104000_20182,1,704,25,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814322,20182,1303104000,20182,1303104000_20182,2,704,21,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814323,20182,1303104000,20182,1303104000_20182,2,704,26,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814324,20182,1303104000,20182,1303104000_20182,1,704,28,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814325,20182,1303104000,20182,1303104000_20182,1,704,29,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201814326,20182,1303104000,20182,1303104000_20182,1,704,24,2018,2,1,8,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20190823,235
201823001,20181,1302208000,20181,1302208000_20181,2,156,20,2018,1,1,1,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200213,531
201823001,20181,1302208000,20182,1302208000_20181,2,156,20,2018,1,1,1,2,1,01,1,4.34,4.34,1,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200213,409
201823001,20181,1302208000,20191,1302208000_20181,2,156,21,2018,1,1,1,2,2,01,1,4.235,4.13,2,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200213,166
201823001,20181,1302208000,20192,1302208000_20181,2,156,21,2018,1,1,1,2,3,01,1,4.10666666666667,3.85,3,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200213,44
201823901,20182,1301303001,20182,1301303001_20182,1,704,25,2018,2,1,1,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20210820,963
201823901,20182,1301303001,20191,1301303001_20182,1,704,25,2018,2,1,1,2,1,01,1,1.63,1.63,1,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,0,NULL,NULL,NULL,0,GRAD,07,20210820,720
201823901,20182,1301303001,20192,1301303001_20182,1,704,26,2018,2,1,1,2,2,01,1,1.895,2.16,2,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,0,NULL,NULL,NULL,0,GRAD,07,20210820,598
201823901,20182,1301303001,20201,1301303001_20182,1,704,26,2018,2,1,1,2,3,03,1,1.88333333333333,1.86,3,0,NULL,NULL,NULL,NULL,NULL,1,0,NULL,5,1,NULL,NULL,NULL,0,GRAD,07,20210820,354
201823901,20182,1301303001,20202,1301303001_20182,1,704,27,2018,2,1,1,2,4,03,1,1.88333333333333,1.86,3,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,5,1,NULL,NULL,NULL,0,GRAD,07,20210820,232
201831901,20181,1301309000,20181,1301309000_20181,1,586,27,2018,1,1,1,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200821,721
201831901,20181,1301309000,20182,1301309000_20181,1,586,28,2018,1,1,1,2,1,01,1,4.03,4.03,1,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200821,599
201831901,20181,1301309000,20191,1301309000_20181,1,586,28,2018,1,1,1,2,2,01,1,3.435,2.84,2,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200821,356
201831901,20181,1301309000,20192,1301309000_20181,1,586,29,2018,1,1,1,2,3,01,1,3.12333333333333,2.5,3,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,0,GRAD,07,20200821,234
201831902,20181,1301309001,20181,1301309001_20181,1,586,23,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,04,20260227,2737
201831902,20181,1301309001,20182,1301309001_20181,1,586,23,2018,1,1,1,2,1,03,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,1,DROP,04,20260227,2615
201831902,20181,1301309001,20191,1301309001_20181,1,586,24,2018,1,1,1,2,2,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,1,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,2372
201831902,20181,1301309001,20192,1301309001_20181,1,586,24,2018,1,1,1,2,3,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,2250
201831902,20181,1301309001,20201,1301309001_20181,1,586,25,2018,1,1,1,2,4,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,1,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,2006
201831902,20181,1301309001,20202,1301309001_20181,1,586,25,2018,1,1,1,2,5,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1884
201831902,20181,1301309001,20211,1301309001_20181,1,586,26,2018,1,1,1,2,6,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1641
201831902,20181,1301309001,20212,1301309001_20181,1,586,26,2018,1,1,1,2,7,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1519
201831902,20181,1301309001,20221,1301309001_20181,1,586,27,2018,1,1,1,2,8,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1276
201831902,20181,1301309001,20222,1301309001_20181,1,586,27,2018,1,1,1,2,9,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1154
201831902,20181,1301309001,20231,1301309001_20181,1,586,28,2018,1,1,1,2,10,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,911
201831902,20181,1301309001,20232,1301309001_20181,1,586,28,2018,1,1,1,2,11,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,789
201831902,20181,1301309001,20241,1301309001_20181,1,586,29,2018,1,1,1,2,12,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,545
201831902,20181,1301309001,20242,1301309001_20181,1,586,29,2018,1,1,1,2,13,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,423
201831902,20181,1301309001,20251,1301309001_20181,1,586,30,2018,1,1,1,2,14,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,180
201831902,20181,1301309001,20252,1301309001_20181,1,586,30,2018,1,1,1,2,15,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,58
201831903,20181,1301309000,20181,1301309000_20181,1,586,20,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,0,GRAD,07,20210820,1085
201831903,20181,1301309000,20182,1301309000_20181,1,586,21,2018,1,1,1,2,1,03,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210820,963
201831903,20181,1301309000,20191,1301309000_20181,1,586,21,2018,1,1,1,2,2,03,1,3.06,3.06,1,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210820,720
201831903,20181,1301309000,20192,1301309000_20181,1,586,22,2018,1,1,1,2,3,03,1,2.835,2.61,2,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210820,598
